case_id,scenario_id,split,document_ids,expected_consistency_status,expected_issues
train-00001,legitimate_pdf,train,['train-00001-invoice'],coherent,[]
train-00002,legitimate_pdf,train,['train-00002-invoice'],coherent,[]
train-00003,legitimate_pdf,train,['train-00003-invoice'],coherent,[]
train-00004,legitimate_pdf,train,['train-00004-invoice'],coherent,[]
train-00005,legitimate_pdf,train,['train-00005-invoice'],coherent,[]
train-00006,legitimate_pdf,train,['train-00006-invoice'],coherent,[]
train-00007,legitimate_scan,train,['train-00007-invoice'],coherent,[]
train-00008,legitimate_scan,train,['train-00008-invoice'],coherent,[]
train-00009,legitimate_scan,train,['train-00009-invoice'],coherent,[]
train-00010,legitimate_scan,train,['train-00010-invoice'],coherent,[]
train-00011,legitimate_scan,train,['train-00011-invoice'],coherent,[]
train-00012,legitimate_scan,train,['train-00012-invoice'],coherent,[]
train-00013,legitimate_smartphone,train,['train-00013-invoice'],coherent,[]
train-00014,legitimate_smartphone,train,['train-00014-invoice'],coherent,[]
train-00015,legitimate_smartphone,train,['train-00015-invoice'],coherent,[]
train-00016,legitimate_smartphone,train,['train-00016-invoice'],coherent,[]
train-00017,forged_amount_pdf,train,['train-00017-invoice'],amount_mismatch,['forged_amount']
train-00018,forged_amount_pdf,train,['train-00018-invoice'],amount_mismatch,['forged_amount']
train-00019,forged_amount_pdf,train,['train-00019-invoice'],amount_mismatch,['forged_amount']
train-00020,forged_amount_pdf,train,['train-00020-invoice'],amount_mismatch,['forged_amount']
train-00021,forged_identifier_scan,train,['train-00021-invoice'],siret_mismatch,['forged_supplier_identifier']
train-00022,forged_identifier_scan,train,['train-00022-invoice'],siret_mismatch,['forged_supplier_identifier']
train-00023,forged_identifier_scan,train,['train-00023-invoice'],siret_mismatch,['forged_supplier_identifier']
train-00024,forged_identifier_scan,train,['train-00024-invoice'],siret_mismatch,['forged_supplier_identifier']
train-00025,invoice_quote_mismatch,train,"['train-00025-invoice', 'train-00025-quote']",amount_mismatch,['quote_invoice_amount_gap']
train-00026,invoice_quote_mismatch,train,"['train-00026-invoice', 'train-00026-quote']",amount_mismatch,['quote_invoice_amount_gap']
train-00027,invoice_quote_mismatch,train,"['train-00027-invoice', 'train-00027-quote']",amount_mismatch,['quote_invoice_amount_gap']
train-00028,invoice_quote_mismatch,train,"['train-00028-invoice', 'train-00028-quote']",amount_mismatch,['quote_invoice_amount_gap']
train-00029,expired_attestation,train,"['train-00029-invoice', 'train-00029-attestation']",expired_attestation,['attestation_expired']
train-00030,expired_attestation,train,"['train-00030-invoice', 'train-00030-attestation']",expired_attestation,['attestation_expired']
train-00031,expired_attestation,train,"['train-00031-invoice', 'train-00031-attestation']",expired_attestation,['attestation_expired']
train-00032,expired_attestation,train,"['train-00032-invoice', 'train-00032-attestation']",expired_attestation,['attestation_expired']
train-00033,attestation_siret_mismatch,train,"['train-00033-invoice', 'train-00033-attestation']",siret_mismatch,['attestation_supplier_siret_mismatch']
train-00034,attestation_siret_mismatch,train,"['train-00034-invoice', 'train-00034-attestation']",siret_mismatch,['attestation_supplier_siret_mismatch']
train-00035,attestation_siret_mismatch,train,"['train-00035-invoice', 'train-00035-attestation']",siret_mismatch,['attestation_supplier_siret_mismatch']
train-00036,attestation_siret_mismatch,train,"['train-00036-invoice', 'train-00036-attestation']",siret_mismatch,['attestation_supplier_siret_mismatch']
train-00037,rib_mismatch,train,"['train-00037-invoice', 'train-00037-rib']",rib_mismatch,['rib_supplier_name_mismatch']
train-00038,rib_mismatch,train,"['train-00038-invoice', 'train-00038-rib']",rib_mismatch,['rib_supplier_name_mismatch']
train-00039,rib_mismatch,train,"['train-00039-invoice', 'train-00039-rib']",rib_mismatch,['rib_supplier_name_mismatch']
train-00040,missing_field_scan,train,['train-00040-invoice'],missing_field,['missing_due_date']
train-00041,missing_field_scan,train,['train-00041-invoice'],missing_field,['missing_due_date']
train-00042,missing_field_scan,train,['train-00042-invoice'],missing_field,['missing_due_date']
validation-00043,legitimate_pdf,validation,['validation-00043-invoice'],coherent,[]
validation-00044,legitimate_pdf,validation,['validation-00044-invoice'],coherent,[]
validation-00045,legitimate_scan,validation,['validation-00045-invoice'],coherent,[]
validation-00046,legitimate_scan,validation,['validation-00046-invoice'],coherent,[]
